section,training_seed,split,prediction_source,score_or_state,region,window_sec,metric,legacy_value,final_value,signed_difference_final_minus_legacy,absolute_difference,exactly_equal
conditional_error_detection,0,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,10.0,aupr,0.4739526292985849,0.47105127827779936,-0.0029013510207855364,0.0029013510207855364,False
conditional_error_detection,0,val,mc_dropout_t30,mc_mutual_info,near_boundary,20.0,auroc,0.6523826035268476,0.6520080977270927,-0.0003745057997549539,0.0003745057997549539,False
conditional_error_detection,0,val,mc_dropout_t30,mc_mutual_info,near_boundary,20.0,aupr,0.6923975434297097,0.6927251868213491,0.00032764339163937617,0.00032764339163937617,False
conditional_error_detection,0,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,20.0,auroc,0.7539444758275301,0.7561198950477003,0.0021754192201701716,0.0021754192201701716,False
conditional_error_detection,0,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,20.0,aupr,0.4660560764528541,0.4636302863843897,-0.002425790068464384,0.002425790068464384,False
conditional_error_detection,0,test,deterministic_raw,one_minus_confidence,near_boundary,5.0,auroc,0.5902537101217453,0.5902537101217453,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,one_minus_confidence,near_boundary,5.0,aupr,0.6372330766970828,0.6372330766970828,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,one_minus_confidence,far_from_boundary,5.0,auroc,0.7483624326033735,0.7483624326033735,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,one_minus_confidence,far_from_boundary,5.0,aupr,0.5631325337709436,0.5631325337709436,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,one_minus_confidence,near_boundary,10.0,auroc,0.6156681527240699,0.6156681527240699,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,one_minus_confidence,near_boundary,10.0,aupr,0.6376676484279964,0.6376676484279964,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,one_minus_confidence,far_from_boundary,10.0,auroc,0.7500608306550717,0.7500608306550717,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,one_minus_confidence,far_from_boundary,10.0,aupr,0.5606683261378153,0.5606683261378153,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,one_minus_confidence,near_boundary,20.0,auroc,0.6288819391274504,0.6288819391274504,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,one_minus_confidence,near_boundary,20.0,aupr,0.6125563252101698,0.6125563252101698,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,one_minus_confidence,far_from_boundary,20.0,auroc,0.7542418979455998,0.7542418979455998,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,one_minus_confidence,far_from_boundary,20.0,aupr,0.5597894270835082,0.5597894270835082,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,normalised_entropy,near_boundary,5.0,auroc,0.606238336443615,0.606238336443615,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,normalised_entropy,near_boundary,5.0,aupr,0.6699117124286451,0.6699117124286451,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,normalised_entropy,far_from_boundary,5.0,auroc,0.759995018764307,0.759995018764307,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,normalised_entropy,far_from_boundary,5.0,aupr,0.5886818636824269,0.5886818636824269,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,normalised_entropy,near_boundary,10.0,auroc,0.6315854563442989,0.6315854563442989,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,normalised_entropy,near_boundary,10.0,aupr,0.6693675067700287,0.6693675067700287,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,normalised_entropy,far_from_boundary,10.0,auroc,0.761636720091915,0.761636720091915,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,normalised_entropy,far_from_boundary,10.0,aupr,0.5857214630130928,0.5857214630130928,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,normalised_entropy,near_boundary,20.0,auroc,0.6402634402279181,0.6402634402279181,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,normalised_entropy,near_boundary,20.0,aupr,0.6402768471733673,0.6402768471733673,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,normalised_entropy,far_from_boundary,20.0,auroc,0.7659969581682956,0.7659969581682956,0.0,0.0,True
conditional_error_detection,0,test,deterministic_raw,normalised_entropy,far_from_boundary,20.0,aupr,0.584442596609051,0.584442596609051,0.0,0.0,True
conditional_error_detection,0,test,mc_dropout_t30,mc_entropy,near_boundary,5.0,auroc,0.6058661879750904,0.6127120716874569,0.006845883712366496,0.006845883712366496,False
conditional_error_detection,0,test,mc_dropout_t30,mc_entropy,near_boundary,5.0,aupr,0.6646440603650989,0.6744112065750119,0.009767146209912925,0.009767146209912925,False
conditional_error_detection,0,test,mc_dropout_t30,mc_entropy,far_from_boundary,5.0,auroc,0.7709051678979602,0.7697942545844815,-0.0011109133134786786,0.0011109133134786786,False
conditional_error_detection,0,test,mc_dropout_t30,mc_entropy,far_from_boundary,5.0,aupr,0.6018815719816666,0.598370643364362,-0.0035109286173046206,0.0035109286173046206,False
conditional_error_detection,0,test,mc_dropout_t30,mc_entropy,near_boundary,10.0,auroc,0.6211828674882862,0.6287076813698613,0.00752481388157511,0.00752481388157511,False
conditional_error_detection,0,test,mc_dropout_t30,mc_entropy,near_boundary,10.0,aupr,0.6513788900054633,0.6627780932057643,0.011399203200300967,0.011399203200300967,False
conditional_error_detection,0,test,mc_dropout_t30,mc_entropy,far_from_boundary,10.0,auroc,0.7731895360453499,0.771904503500561,-0.0012850325447889555,0.0012850325447889555,False
conditional_error_detection,0,test,mc_dropout_t30,mc_entropy,far_from_boundary,10.0,aupr,0.6003422423103743,0.5963561352167253,-0.003986107093648994,0.003986107093648994,False
conditional_error_detection,0,test,mc_dropout_t30,mc_entropy,near_boundary,20.0,auroc,0.6378792013116759,0.6389150279100732,0.0010358265983972936,0.0010358265983972936,False
conditional_error_detection,0,test,mc_dropout_t30,mc_entropy,near_boundary,20.0,aupr,0.6341959659187708,0.6364140656532284,0.0022180997344576348,0.0022180997344576348,False
conditional_error_detection,0,test,mc_dropout_t30,mc_entropy,far_from_boundary,20.0,auroc,0.7778854119276846,0.7768038025086446,-0.0010816094190400083,0.0010816094190400083,False
conditional_error_detection,0,test,mc_dropout_t30,mc_entropy,far_from_boundary,20.0,aupr,0.5994122313640584,0.5955917470082229,-0.003820484355835485,0.003820484355835485,False
conditional_error_detection,0,test,mc_dropout_t30,mc_mutual_info,near_boundary,5.0,auroc,0.606963189504244,0.6225068374357948,0.01554364793155083,0.01554364793155083,False
conditional_error_detection,0,test,mc_dropout_t30,mc_mutual_info,near_boundary,5.0,aupr,0.6246488729688711,0.6353973766678366,0.010748503698965517,0.010748503698965517,False
conditional_error_detection,0,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,5.0,auroc,0.7647564807592883,0.762438801129599,-0.0023176796296892066,0.0023176796296892066,False
conditional_error_detection,0,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,5.0,aupr,0.5803849032869701,0.5766175122830828,-0.0037673910038873437,0.0037673910038873437,False
conditional_error_detection,0,test,mc_dropout_t30,mc_mutual_info,near_boundary,10.0,auroc,0.6161394708192739,0.6254451025166744,0.009305631697400507,0.009305631697400507,False
conditional_error_detection,0,test,mc_dropout_t30,mc_mutual_info,near_boundary,10.0,aupr,0.5945550627283679,0.607692355979951,0.013137293251583082,0.013137293251583082,False
conditional_error_detection,0,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,10.0,auroc,0.7671573140038257,0.7647493215433256,-0.0024079924605000524,0.0024079924605000524,False
conditional_error_detection,0,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,10.0,aupr,0.5814158819392912,0.5769059420760129,-0.0045099398632783005,0.0045099398632783005,False
conditional_error_detection,0,test,mc_dropout_t30,mc_mutual_info,near_boundary,20.0,auroc,0.6327147577136575,0.6372562669636913,0.004541509250033826,0.004541509250033826,False
conditional_error_detection,0,test,mc_dropout_t30,mc_mutual_info,near_boundary,20.0,aupr,0.586905722705156,0.5918181977634875,0.004912475058331589,0.004912475058331589,False
conditional_error_detection,0,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,20.0,auroc,0.7718991254396004,0.7694157982990188,-0.002483327140581526,0.002483327140581526,False
conditional_error_detection,0,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,20.0,aupr,0.5820548922889988,0.5770481568615764,-0.00500673542742236,0.00500673542742236,False
conditional_error_detection,1,val,deterministic_raw,one_minus_confidence,near_boundary,5.0,auroc,0.4754132231404958,0.47541322314049583,5.551115123125783e-17,5.551115123125783e-17,False
conditional_error_detection,1,val,deterministic_raw,one_minus_confidence,near_boundary,5.0,aupr,0.5609788979351015,0.5609788979351015,0.0,0.0,True
conditional_error_detection,1,val,deterministic_raw,one_minus_confidence,far_from_boundary,5.0,auroc,0.6816739932941673,0.6816739932941673,0.0,0.0,True
conditional_error_detection,1,val,deterministic_raw,one_minus_confidence,far_from_boundary,5.0,aupr,0.4119716619828221,0.4119716619828221,0.0,0.0,True
conditional_error_detection,1,val,deterministic_raw,one_minus_confidence,near_boundary,10.0,auroc,0.4421220358046677,0.4421220358046677,0.0,0.0,True
conditional_error_detection,1,val,deterministic_raw,one_minus_confidence,near_boundary,10.0,aupr,0.4943613154182066,0.4943613154182066,0.0,0.0,True
conditional_error_detection,1,val,deterministic_raw,one_minus_confidence,far_from_boundary,10.0,auroc,0.6855234957716865,0.6855234957716865,0.0,0.0,True
conditional_error_detection,1,val,deterministic_raw,one_minus_confidence,far_from_boundary,10.0,aupr,0.4124352022769588,0.41243520227695885,5.551115123125783e-17,5.551115123125783e-17,False
conditional_error_detection,1,val,deterministic_raw,one_minus_confidence,near_boundary,20.0,auroc,0.4849457533543044,0.4849457533543044,0.0,0.0,True
